,argu,loss_fun,class_weight,nl,opt,epochs,error
199,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 60, 10]",SGD,200.0,
200,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 60, 10]",SGD,300.0,
201,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 60, 10]",Adam,100.0,246.78359974544694
202,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 60, 10]",Adam,200.0,184.03425754250725
203,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 60, 10]",Adam,300.0,182.2451868563043
204,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 60, 10]",RMSprop,100.0,245.63344746368756
205,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 60, 10]",RMSprop,200.0,171.63917635740776
206,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 60, 10]",RMSprop,300.0,113.12402185536047
207,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 60, 10]",SGD,100.0,
208,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 60, 10]",SGD,200.0,
209,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 60, 10]",SGD,300.0,
210,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 60, 10]",Adam,100.0,182.14654162769287
211,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 60, 10]",Adam,200.0,218.08939997987224
212,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 60, 10]",Adam,300.0,153.48638788951462
213,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 60, 10]",RMSprop,100.0,225.88724094776515
214,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 60, 10]",RMSprop,200.0,193.40308565255683
215,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 60, 10]",RMSprop,300.0,128.50313094168288
216,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[90, 10]",SGD,100.0,
217,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[90, 10]",SGD,200.0,
218,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[90, 10]",SGD,300.0,
219,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[90, 10]",Adam,100.0,255.91071975160307
220,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[90, 10]",Adam,200.0,164.11778788093434
221,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[90, 10]",Adam,300.0,128.47360286937908
222,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[90, 10]",RMSprop,100.0,178.1034541273862
223,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[90, 10]",RMSprop,200.0,187.724369931094
224,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[90, 10]",RMSprop,300.0,140.3470098989929
225,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 40]",SGD,100.0,
226,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 40]",SGD,200.0,
